source/engine-and-pump.STEP
  cylinders near origin (<= 3000): 4787   far/outlier: 2720
              |axis| dir   count     r_min     r_max         area
  ( 0.95, 0.00, 0.31)       4      20.0      20.0         1396
  ( 0.02, 1.00, 0.05)       1      10.0      10.0         1327
  ( 0.02, 1.00, 0.03)       2      12.5      12.5         1312
  ( 1.00, 0.05, 0.02)       2      16.0      50.0         1311
  ( 1.00, 0.07, 0.01)       1      13.0      13.0         1300
  ( 1.00, 0.00, 0.03)       2      10.5      13.5         1225
  ( 0.77, 0.00, 0.64)       3      10.4     152.0         1200
  ( 0.95, 0.31, 0.05)       2    1931.5    1931.5         1174
  ( 0.02, 0.03, 1.00)       2      10.0      10.0         1157
  ( 1.00, 0.05, 0.07)       3      10.0      10.0         1076
  ( 0.36, 0.93, 0.00)       2      10.0      10.0         1030
  ( 0.08, 0.99, 0.07)       2      12.0      12.0         1021
  ( 0.13, 0.99, 0.10)       1      12.0      12.0          993
  ( 0.97, 0.23, 0.05)       1      11.0      11.0          988
  ( 0.98, 0.17, 0.05)       2      10.0      10.0          970
  ( 0.00, 0.72, 0.69)       3       0.8      10.7          899
  ( 0.39, 0.92, 0.02)       1      14.0      14.0          896
  ( 0.18, 0.98, 0.00)       2      23.0      23.0          885
  ( 0.86, 0.51, 0.07)       1      20.0      20.0          809
  ( 0.97, 0.26, 0.00)       1      15.0      15.0          777
  ( 0.02, 0.00, 1.00)       1      30.0      30.0          777
  ( 0.10, 0.99, 0.03)       1      18.0      18.0          723
  ( 0.05, 0.05, 1.00)       2      16.0      16.0          691
  ( 0.93, 0.16, 0.33)       1      20.0      20.0          674
  ( 1.00, 0.03, 0.02)       1      11.0      11.0          663
  ( 1.00, 0.02, 0.00)       1      10.0      10.0          644
  ( 1.00, 0.04, 0.04)       2      14.0      50.0          642
  ( 0.81, 0.59, 0.00)       1      10.0      10.0          571
  ( 0.94, 0.30, 0.17)       2      11.8      11.8          557
  ( 0.28, 0.96, 0.02)       2      15.0      15.0          531
  ( 1.00, 0.03, 0.01)       2      10.0      10.0          525
  ( 0.64, 0.76, 0.03)       1      12.0      12.0          520
  ( 0.25, 0.97, 0.03)       1      12.0      12.0          511
  ( 0.05, 0.06, 1.00)       1      10.0      10.0          486
  ( 0.95, 0.33, 0.00)       1      10.0      10.0          455
  ( 1.00, 0.09, 0.03)       1      20.0      20.0          437
  ( 0.96, 0.00, 0.28)       1      10.0      10.0          436
  ( 0.42, 0.00, 0.91)       1      10.4      10.4          428
  ( 1.00, 0.01, 0.07)       1      13.0      13.0          419
  ( 0.91, 0.42, 0.05)       1      12.0      12.0          404
  ( 0.11, 0.99, 0.01)       1      28.0      28.0          398
  ( 0.68, 0.30, 0.68)       1      14.0      14.0          385
  ( 1.00, 0.04, 0.03)       1      14.0      14.0          375
  ( 0.00, 1.00, 0.06)       1      27.1      27.1          363
  ( 0.68, 0.27, 0.68)       1      14.0      14.0          350
  ( 0.02, 0.02, 1.00)       1      16.0      16.0          329
  ( 0.05, 0.04, 1.00)       1      30.0      30.0          303
  ( 0.06, 0.00, 1.00)       1      30.0      30.0          303
  ( 0.93, 0.36, 0.00)       1      10.0      10.0          300
  ( 1.00, 0.05, 0.01)       1      30.0      30.0          292
  ( 0.77, 0.64, 0.00)       1      11.5      11.5          284
